Median,Min,Max
619,619,619
675,675,675
443,443,443
938,938,938
949,949,949
275,275,275
329,329,329
298,298,298
785,785,785
264,264,264
330,330,330
375,375,375
649,649,649
707,707,707
854,854,854
650,650,650
276,276,276
756,756,756
413,413,413
1159,1159,1159
371,371,371
452,452,452
674,674,674
730,730,730
666,666,666
816,816,816
726,719,728
542,542,542
1119,1119,1119
414,414,414
617,617,617
1013,1013,1013
1060,1060,1060
849,849,849
703,703,703
752,752,752
997,997,997
454,454,454
753,753,753
597,597,597
790,771,807
294,294,294
498,498,498
897,897,897
323,323,323
499,499,499
849,849,849
782,782,782
458,458,458
324,324,324
590,590,590
1066,1066,1066
784,784,784
260,260,260
278,278,278
373,373,373
376,376,376
1160,1160,1160
456,456,456
374,374,374
326,326,326
448,448,448
455,455,455
295,295,295
406,406,406
266,266,266
814,814,814
764,764,764
365,365,365
408,408,408
705,705,705
729,729,729
1061,1061,1061
786,786,786
366,366,366
853,853,853
957,957,957
796,796,796
457,457,457
1295,1295,1295
1120,1120,1120
1162,1162,1162
932,915,947
1062,1062,1062
893,893,893
336,336,336
672,672,672
674,674,674
639,639,639
1202,1202,1202
502,502,502
638,638,638
407,407,407
543,543,543
793,793,793
449,449,449
891,891,891
626,626,626
304,304,304
280,280,280
381,381,381
367,367,367
1399,1399,1399
302,302,302
279,279,279
1121,1121,1121
613,613,613
1122,1122,1122
766,766,766
325,325,325
496,496,496
863,863,863
765,765,765
380,380,380
303,303,303
451,451,451
544,544,544
725,725,725
655,655,655
710,710,710
630,630,630
1003,1003,1003
1063,1063,1063
712,712,712
1080,960,1118
851,851,851
793,793,793
886,886,886
1002,1002,1002
542,509,559
728,728,728
1239,1239,1239
597,325,620
805,212,824
797,797,797
667,667,667
422,422,422
860,860,860
421,421,421
282,282,282
450,450,450
755,755,755
684,684,684
946,946,946
261,261,261
409,409,409
426,426,426
1201,1201,1201
625,625,625
713,713,713
369,369,369
368,368,368
333,333,333
410,410,410
682,682,682
852,852,852
384,384,384
856,856,856
788,788,788
619,619,619
683,683,683
850,850,850
726,726,726
737,737,737
692,226,837
822,820,822
900,900,900
743,611,784
714,714,714
756,756,756
862,862,862
821,821,821
654,654,654
587,587,587
423,423,423
636,636,636
857,857,857
300,300,300
791,791,791
1004,1004,1004
382,382,382
1068,1068,1068
265,265,265
589,589,589
715,715,715
383,383,383
901,901,901
417,417,417
599,599,599
299,299,299
335,335,335
253,253,253
627,627,627
277,277,277
734,734,734
424,424,424
736,736,736
425,425,425
921,921,921
852,852,852
332,332,332
1345,1345,1345
681,681,681
920,920,920
541,541,541
588,588,588
637,637,637
1118,1118,1118
256,256,256
859,859,859
255,255,255
291,291,291
887,887,887
617,617,617
420,420,420
612,612,612
618,618,618
416,416,416
288,288,288
465,465,465
677,677,677
301,301,301
858,858,858
306,306,306
459,459,459
415,415,415
629,629,629
625,625,625
679,679,679
819,819,819
716,716,716
792,792,792
790,790,790
595,595,595
426,306,454
680,680,680
794,794,794
855,855,855
464,464,464
418,418,418
623,623,623
379,379,379
308,308,308
273,273,273
307,307,307
334,334,334
378,378,378
594,594,594
546,546,546
854,854,854
640,640,640
593,593,593
605,605,605
290,290,290
272,272,272
624,624,624
505,505,505
340,340,340
305,305,305
419,419,419
644,644,644
653,653,653
643,643,643
678,678,678
1067,1067,1067
795,795,795
758,758,758
794,794,794
709,705,709
899,899,899
732,732,732
385,385,385
283,283,283
289,289,289
428,428,428
632,632,632
461,461,461
341,341,341
342,342,342
733,733,733
462,462,462
309,309,309
545,545,545
596,596,596
641,641,641
795,795,795
504,504,504
503,503,503
572,572,572
262,262,262
603,579,620
292,279,317
510,200,554
237,237,237
657,657,657
267,267,267
284,284,284
427,427,427
767,767,767
271,271,271
249,249,249
269,269,269
386,386,386
614,614,614
286,286,286
248,248,248
708,708,708
593,593,593
270,270,270
258,258,258
285,285,285
460,460,460
387,387,387
685,685,685
607,607,607
606,606,606
608,608,608
615,615,615
254,254,254
244,244,244
238,238,238
230,230,230
